bray	área urbana
kiwi	planta vascular
yahoo	buscador
sociolingüística	tanteo
trampa	guile
cantautor	cantor
bruce lee	actor
cerveza	líquido
arlequín	traje
superordenador	ordenador central
hornsby	pueblo
bray	autora
grafito	fibra
friso	obra de arte
silla	escaño
mano de obra	mercado
uganda	estado federado
the offspring	álbum de estudio
satélite	cuerpo celeste
tajo	cuerpo de agua
río hudson	curso de agua
chaparrón	temporal
francesc homs	economista
fotón	onda electromagnética
hoya	escandente
cerivastatina	medicamento
lazo	paño
cañón	dolina
franklin delano roosevelt	cabeza
estación de tren	estación de trenes
acera	autovía
peñasco	bloque
dorso	faz
ábside	obra de arte
llovizna	clima
sílex	chert
coco	espíritu
sucursal	firma
intimidación	agresión
madera de pino	spermatophyta
mojón	referencia
brandy	álbum de estudio
benjamin disraeli	dirigente
jade	inosilicato
stenocarpus	planta vascular
barco insignia	barco
glucosa	monosacárido
señal de tráfico	signo
naranjo	frutal
cruce	masa de agua
pavimento	camino
quilombo	error
pera	producto agrícola
cortafuegos	red de información
senador	cabeza
bardos	villa
cenote	depresión natural
barco negrero	carguero
trinitaria	planta vascular
ingreso	fondo
winston churchill	autor
ovejero	canino
macis	especia
batalla campal	combate
leonor de aquitania	jefe de estado
paso a nivel	camino
ku klux klan	movimiento
cava	líquido
1945	cronología
barco insignia	bajel
praga	área urbana
sello postal	señal
lengüeta	instrumento musical
ellington	gerencia
temporal	parte del cuerpo
zueco	sandalia
microondas	radiación ionizante
sam shepard	actor dramático
ácido	droga
tarjeta de débito	tarjeta
vademécum	publicación
hornsby	arrabal
pocilga	masía
luis xiv	monarca
enna	extensión de agua
casa solariega	palacete
camino	trazo
cúmulo	fenómeno
deshielo	silencio
sátrapa	autoridad
centeno	planta
terremoto	cataclismo
amígdala	ganglio nervioso
cenote	malpaís
selene	supervillano
granja	edificio
arenque	vertebrado
yelmo	prenda
gettysburg	ciudad
bardos	entidad territorial
alicante	aglomeración urbana
valla	obstrucción
cava	bebida
inducción	inferencia
desierto de atacama	parcela
taco	tosquedad
carabela	nave
ágora	plaza de mercado
castillo	defensa
naufragio	destrucción
franklin delano roosevelt	presidente
torre de pisa	campanario
cortafuegos	red informática
torgau	suburbio
asturias	comunidad autónoma
templario	comando
robert lowell	persona
ferry	buque
bill tilden	persona
mantis religiosa	artrópodo
oreja	órgano
aduana	gravamen
ponce de león	metrópoli
hockey	deporte de pelota
francis hopkinson	magistrado
centeno	bebida destilada
gacha	grano
mojón	signo
bardos	aglomeración urbana
paraguay	vía pública
bagatela	pieza
plátano	fruto
placa	circuito
circón	facies
wakanda	escena
paraje	paradero
llovizna	condición atmosférica
brandy	medio
trampa	boca
bray	villa
patrón	militar
myspace	medio de comunicación
dortmund	ciudad
forja	tajo
pena de muerte	castigo
sánscrito	biblioteconomía
cabeza de turco	incauto
novelista	persona
cádiz	municipalidad
lona	tela
cruz de malta	heráldica
metotrexato	substancia
asentamiento	escena
mary poppins	show
casa solariega	edificio
pontífice	párroco
pena de muerte	condena
carro	vehículo
pyongyang	capital
inocencio iv	párroco
bordillo	borde
kerch	ciudad
galatasaray	municipio
escarpadura	risco
castillo	mansión
forja	calderería
adam smith	amo
oliver hazard perry	persona
rancho	estancia
ácido	compuesto
pena	adversidad
giovanni boccaccio	corresponsal
capilla	ceremonia
juana grey	líder
folclore	ceremonia religiosa
arlequín	comedia del arte
seminario	instituto
pavimento	revestimiento
quinua	producto agrícola
jugador	concursante
tobin	economista
grevillea	planta leñosa
disolución	transformación
cortijo	pueblo
hank williams	letrista
úlcera duodenal	síntoma
radioisótopo	isótopo
monte vesubio	monte
nevasca	tormenta violenta
pradera	bioma
hezbolá	partido
aguacero	líquido
floresta	palo de golf
babilonia	obra musical
nácar	caparazón
tubo de escape	ducto
icosaedro	conformación
abarth	manufactura
ají	planta
patrullero	guardián
adam smith	escuadra
guitarra	instrumento musical
automovilismo	competición
instituto	asociación voluntaria
cebú	entidad territorial
coche	medio
llovizna	fenómeno
cava	zona
cabecera	dato
grafito	mezcla
vendedor	comerciante
elizabeth taylor	histrión
muelle	plataforma
sakura	cerasus
cáncer	patología
disolución	terminación
compensación	corrección
bandera	imagen
regadera	embalaje
aleksandr pushkin	persona
cuartel	escudo de armas
centeno	bebida alcohólica
sake	bebida alcohólica
floresta	ecosistema
sal	compuesto químico
bernard hinault	jinete
pelota	dependiente
atraco	crimen violento
cabecera	lectura
rotación	correspondencia
el rey lear	texto
tragicomedia	drama
muelle	entarimado
metotrexato	medicamento
abarth	firma
soroche	enfermedad
soga	hilado
disolución	conclusión
stenocarpus	planta leñosa
coco	planta vascular
tamarao	rumiante
dírham	moneda
eca	catalizador
naufragio	desgracia
madera de pino	planta vascular
buque de guerra	embarcación
yeso	asociación
polvorín	depósito
bromo	átomo
casco	indumentaria
jet	medio de transporte
franklin delano roosevelt	dueño
escudo	imagen
lanza	punta
embrión	fase
turbión	tiempo atmosférico
té	arbusto
roulade	tarta
compensación	gasto
ansiedad	predisposición
deflagración	combustión
lucio cornelio sila	general
polígono	curva
stanley kubrick	autor
brandy	música popular
kruschev	cabeza
naira	unidad monetaria
amatista	joya
carabela	velero
sánscrito	lengua indo-aria
montaña	elevación
doctorado	grado académico
nkvd	departamento
escudo	vestuario
azafato	sobrecargo
gacha	herbácea
campesino	jovencito
marcel duchamp	persona
guijarro	piedra
fibrilación	enfermedad
transporte ferroviario	desplazamiento
barco de carga	bajel
trampa	vía de acceso
cebú	población urbana
rugby	juego deportivo
metotrexato	compuesto
molinete	verja
james madison	presidente
cachorro	adolescente
pradera	sinecología
myspace	página web
macedonia	ensalada
robo	agresión
jack el destripador	persona
sánscrito	indo-ario
institutor	servidor
máquina de vapor	máquina
fibra natural	fibra mineral
heródoto	historiógrafo
medias	vestimenta
intranet	instalación
casero	propietario
bardos	metrópolis
arroz	planta
casa solariega	edificación
culata	chapa
centésimo	fracción común
flapper	tendencia
stanford	magnate
placa	emblema
plexiglás	compuesto
trinitaria	spermatophyta
tiza	roca
sangre del dragón	colofonia
heródoto	historiadora
institutor	trabajador
ellington	director de cine
paseo	traslado
adivino	persona
alambique	vasija
iceberg	hielo
polvo blanco	fármaco
puerto rico	país
tregua	sosiego
babilonia	área urbana
glitch	fracaso
isla esmeralda	hábitat
perro	persona
jardín	espacio
rastrillo	escobillón
buque de guerra	viaje
sol de mayo	ciudad
estación de tren	edificación
apóstrofo	grafema
cajún	acadiano
plexiglás	compuesto químico
jet	fármaco
ingreso	ganancia
montaña	formación geológica
té	hierba
embarcación	medio
estación de tren	cochera
teatro	edificio
cáncer	anatomía patológica
pelota	hipócrita
musical	ejecución
texas	vecindad
pasífae	objeto astronómico
traqueotomía	cirugía
rasta	comunidad religiosa
torniquete	apósito
cortijo	estructura arquitectónica
folclore	acto social
mazorca	maíz
sociolingüística	know how
cerilla	luminaria
inocencio iv	obispo
arena	suburbio
buque de guerra	medio de transporte
fósforo	lámpara
carlos de valois	gobernador
institutor	criado
ábside	pedestal
arena	superficie
hilo	conexión
embarcación	transporte
taxodium	órgano
carta astral	gráfica
fotón	bosón de gauge
polimerización	cambio químico
kublai kan	persona
marfil	blanco roto
coco	mal
tiramisú	postre
myrdal	dirigente
sol de mayo	metrópolis
inversión	movimiento
casa solariega	country house
golfo de méxico	masa de agua
yeso	piedra
naranjito	municipio
lanza	arma blanca
matriz	arreglo
renacimiento de harlem	movimiento cultural
veredicto	condena
poblado	asociación
avalancha	movimiento
dolina	karst
hemorragia	desventura
playa	ribera
oliver hazard perry	comodoro
doncella	niña
casquete	comportamiento sexual humano
largometraje	evento social
lazo	textil
lope de vega	autor
bardos	población urbana
tobias smollett	escritor
escudo	indumentaria
gargantúa y pantagruel	narración
pepinillo	sazonador
quinua	legumbre
dique	estructura arquitectónica
erlang	programa de ordenador
cóctel	fiesta
turbión	precipitación atmosférica
vagón de cola	transporte
euskaltel-euskadi	escuadra
juana grey	persona
escatología	fisiología
spirit airlines	vía aérea
tutú	prenda de vestir
nkvd	policía
arthur wellesley	estadista
paul simon	álbum
roberto urdaneta	presidente
ovejero	can
arlequín	indumentaria
rey	jefe de estado
senador	persona
letrista	instrumentista
energía solar	fenómeno
macbeth	grupo de rock
calificación	nota
sello postal	obra de arte
culata	tapa
naufragio	infortunio
varilla	instrumento de medida
aneurisma cerebral	dolencia
cádiz	centro urbano
sangre del dragón	compuesto químico
habanera	baile de salón
neófito	inscrito
basilisco	arma a distancia
eurotúnel	infraestructura urbana
fotosfera	límite
pavimento	calle
amígdala	parte corporal
perjurio	comportamiento antisocial
tamarao	animal
beatriz de suabia	soberano
topología	ordenación
béisbol	prueba
beatriz de suabia	gobernante
glaucoma	enfermedad
vinagrera	hierba
parador	edificio
arthur wellesley	general
partido liberal demócrata	partido político
azúcar	aditivo
macis	semilla
ellington	consistorio
tenis de mesa	deporte de pelota
ají	especia
bruce willis	histrión
dolina	depresión natural
billar	juego de mesa
paraguay	vía de comunicación
olivo	árbol frutal
monte rainier	apogeo
garfield	tira
los andes	población urbana
isla esmeralda	accidente geográfico
anatolio	nombre masculino
shivani	persona
trampa	impostura
cumbre	extremo
stinger	software
el rey lear	tragedia
granja	tajo
usura	tipo de interés
medias	indumentaria
halle	suburbio
albizia	planta
tráfico	fenómeno
máquina de vapor	sistema termodinámico
cádiz	vecindad
cielo	espacio topológico
rudimento	principio básico
villa	municipalidad
gasóleo	motor térmico
rotor	motor
william ewart gladstone	oficial
lluvia	tiempo atmosférico
cruce	carretera
xantina	alcali
lascivia	calentura
erlang	lengua construida
sefardí	lenguas itálicas
adam smith	investigación
coronel	oficial
los andes	urbe
muelle	tarima
deshielo	tranquilidad
cerveza	substancia
vinagre	compuesto
polígono	curvatura
diadema	prenda
crema agria	crema de leche
lazo	trazo
lascivia	desire
land rover	factoría
sefardí	idioma español
teniente primero	persona
circulante	posesión
orfebrería	trabajo
winona ryder	persona
etología	zoología
fútbol club barcelona	once
agua de coco	jugo
yahoo	aplicación informática
tobias smollett	poeta
artrópodo	animal
villa	edificación
patrón	supervisor
cantinero	empleado
cachorro	carnívoro
inocencio iv	reverendo
satélite	nave espacial
ferry	bajel
parlamento	lenguaje
tabaco	substancia
villa	comunidad
alambre de púas	alambre
patrullero	preservador
licenciatura	grado académico
sal	mineral
samba	danza
amatista	cristal
cabecera	frase
cañón	escopeta
fibrilación	afección
heráclito	persona
pera	rostro humano
james madison	jefe
hockey	juego deportivo
chelín	divisa
abadía	templo
ingreso	abono
galatasaray	cuadrilla
tiramisú	plato
asturias	entidad territorial
estrecho	extensión de agua
trampa	táctica militar
contusión	afección
isaac asimov	profesor
flamen	sacerdote
fragata	vehículo
ácido nítrico	compuesto
gúgol	entero
vanguardismo	movimiento social
ecce homo	representación
galatasaray	escuadrón
témpano	cristal
fluorita	sustancia química
amplificador	programa de computación
teniente primero	militar
senador	autoridad
omar khayyam	sabio
sombrero	prenda
grazalema	municipio
naufragio	accidente
ovejero	perro
alternador	máquina
salario	desembolso
tráiler	spot
arabia saudita	país
omar khayyam	escritor
cielo	bola
soga	cuerda
zeeman	astroblema
náusea	síntoma
placa	circuito impreso
fantoche	temporada
franklin delano roosevelt	político
pedrisco	tempestad
trampa	estratagema
william ewart gladstone	jefe
cigüeñuela	animal
pena	sentencia
liposucción	cirugía
guionista	autor
let it be	composición musical
cuento	mentirilla
halcón peregrino	halcón
texas	estado federado
espiga	inflorescencia
encuentro	reunión social
brandy	álbum
muralla	estructura arquitectónica
abadía	edificio
myspace	canal
transporte ferroviario	medio de transporte
julio	especificación
carl lewis	deportista
anemómetro	instrumento de medición
luis xiv	gobernante
floresta	magnitud física
encuentro	evento social
sesto	entidad territorial
ceniza volcánica	ceniza
aguacero	fluido
energía solar	magnitud adimensional
stanford	cabeza
chelín	pieza
sentido del oído	percepción
teodosio i	soberano
bray	poeta
halcón peregrino	animal
bernard hinault	persona
paso a nivel	infraestructura
disolución	proceso físico
demanda	solicitud
ellington	compositora
parlamento	negociación
ellington	aglomeración urbana
cádiz	zona metropolitana
teatro	estructura arquitectónica
bardos	pueblo
delta	aluvión
fotón	radiación ionizante
escudo	fotografía
monica seles	persona
penumbra	cortina
atraco	delito
ponente	registrador
cumbre	especificación técnica
bromo	elemento químico
ferry	transporte de pasajeros
tormenta	lluvia
zaldívar	pueblo
roberto urdaneta	líder
tutú	vestuario
hilo	ligadura
lagoa	pueblo
lope de vega	dramaturgo
pera	planta leñosa
chaparrón	lluvia
mantequilla de maní	emulgente
crema	remisión
desierto de gobi	desierto
panadero	trabajador
linchamiento	pena
fútbol club cartagena	once
liposucción	operación
vicepresidente	ejecutivo
cachorro	cánido
homomorfismo	función
presión atmosférica	índice
ponce de león	zona metropolitana
gargantúa y pantagruel	obra literaria
zanja	cuerpo de agua
camille corot	persona
giovanni boccaccio	autor
dortmund	área urbana
alambique	recinto
cáñamo	droga
winston churchill	soldado
placa	mal
barco insignia	medio de transporte
ellington	centro urbano
adam smith	indagación
musical	función
conmutador	máquina
carro	transporte de pasajeros
rey	baraja
ácido	cinco sentidos
cenote	sima
eurotúnel	camino
catalepsia	mal
sílex	piedra
helado	dulce
acera	camino
canto rodado	bloque
astronáutica	asignatura
matriz	estructura de datos
capilla	oficio religioso
jade	roca
aaron burr	político
arturo alessandri	persona
acera	infraestructura urbana
té	fluido
taxodium	follaje
william ewart gladstone	dueño
cantautor	poeta
vagón de cola	automotor
cenote	karst
lauren bacall	comediante
mozart	persona
sánscrito	índico
encuentro	batalla
lona	paño
hoya	angiosperma
cuartel	edificio
poblado	corporación
benjamin disraeli	mandatario
abadía	claustro
cifosis	parte del cuerpo
sello postal	marcador
espada	naipe
xantina	sal química
sociolingüística	experimento
inocencio iv	dirigente
pera	fruta
bray	músico
arenque	pescado
redondeo	error de cálculo
lüleburgaz	batalla campal
bruce willis	persona
lasso	músico
cardiopatía	patología
giovanni boccaccio	redactor de noticias
cannabis	fármaco
villa	metrópoli
dictadura	sistema político
meseta	elevación
parlamento	poder legislativo
etanal	compuesto
cuento	bola
edad media	época
cabeza de turco	primo
lucio cornelio sila	guerrero
cajún	franco-canadiense
patrón	marino
bruma	condición atmosférica
macis	legumbre
taxodium	tracheobionta
asentamiento	urbe
chubasco	precipitación atmosférica
jack el destripador	transgresor
doncella	sirviente
estabilizador	conformación
sociedad limitada	persona jurídica
gasóleo	substancia
pradera	habitat
peñasco	piedra
renacimiento de harlem	época
afonía	trastorno neurológico
barco pesquero	transporte
pentosa	azúcar
mano de obra	labor
kublai khan	persona
fibrilación	contracción
sucursal	división
let it be	canción
lagoa	concelho
barco pesquero	buque
gacha	producto alimenticio
erosión	cambio químico
estrecho	agua
olivo	tracheobionta
peso cubano	divisa
embocadura	abertura
alioli	especia
bordillo	lado
palestra	arena
aeródromo	instalación
granja	punto de encuentro
leonor de aquitania	reina
polaris	objeto astronómico
estación de autobús	terminal
ají	producto agrícola
lagoa	ciudad
winston churchill	propietario
escarlata	pigmento
acondroplasia	patología
adam smith	dueña
habsburg	zona metropolitana
pierre-joseph proudhon	economista
cortafuegos	red
lanza	final
ruta	viaje
shostakovich	persona
propilenglicol	alcohol
arena	extensión
sakura	anatomía
garm	cánido
galatasaray	entidad territorial
cabecera	almohadón
cortijo	asentamiento rural
sociolingüística	metodología
sarawak	comunidad
bardos	ciudad
temporal	tiempo atmosférico
glitch	desperfecto
soroche	hipoxia
linfangitis	inflamación
estación de autobús	estación
coruscant	planeta
pontífice	cristiano
shona	lengua
amígdala	órgano
vinagre	óxido metálico
galatasaray	urbe
rugby	juego de pelota
llovizna	líquido
aborto	finalización
pezuña hendida	uña
ponce de león	comunidad
patrón	superior
kiwi	fruto
pera	cara
apátrida	exiliado
fútbol	deporte
barco negrero	embarcación
ingeniero	operador
amatista	cuarzo
buque	vehículo
falda	vestimenta
olla	electrodoméstico
polaris	composición literaria
paraná	entidad territorial
louis armstrong	instrumentista
lago eyre	arroyo
metal precioso	lingote
pontífice	autoridad
ginebra	bebida alcohólica
jane doe	serie
mirilla	abertura
sake	bantú
estatorreactor	máquina
william ewart gladstone	ejecutiva
turbión	precipitación
arthur wellesley	oficial de cubierta
fantoche	marioneta
esclusa	cuerpo de agua
706	año
boom box	álbum de estudio
modista	persona
alambre de púas	conductor
dictamen	sentencia
encuentro	asamblea
tacógrafo	cuentarrevoluciones
sakura	árbol
grafito	piedra
lechuga	verdura de hoja
naranjito	población urbana
fc barcelona	club deportivo
polvo blanco	droga
villa	urbe
cabeza de turco	prima
pradera	microhábitat
aneurisma cerebral	enfermedad vascular
buque de guerra	traslado
enrique peña nieto	dueña
mikhail gorbachev	autoridad
heródoto	librería
béisbol	competencia
sida	dolencia
pierre-joseph proudhon	sabio
grafito	facies
estación de autobús	cochera
villa	metrópolis
paraná	área urbana
confederación	coalicion
japonés	lenguaje
metotrexato	compuesto químico
gasa	textil
tráiler	transporte
guionista	persona
winston churchill	jefe
gasóleo	compuesto
let it be	obra musical
culebra de collar	diapsida
stanford	tiempo
brandy	señal
neurofisiología	neurobiología
auricularia	hongo
calle sin salida	autopista
polvo blanco	compuesto
avión	nave
francis hopkinson	jefe
canoa	medio de transporte
cáñamo	planta perenne
judas iscariote	ministro
tiza	piedra
adam smith	banco de datos
cuentakilómetros	instrumento de medida
dortmund	zona metropolitana
brahmaputra	corriente
coronel	prestigio
batalla campal	batalla
stanford	centro urbano
cruce	variación genética
coruscant	planemo
espada	carta
stinger	juego de computadora
conmemoración	ocasión
james madison	pastor
nochebuena	feriado
chartreuse	facies
alicante	ciudad
teherán	gran ciudad
marfil	blancura
soga	cable
luis xiv	soberano
heródoto	historiador
ferdinand de saussure	sabio
chaparrón	tempestad
maracas	instrumento de percusión
apátrida	refugiada
jet	substancia
cifosis	raquis
jet	ketamina
miocarditis	patología
lucio cornelio sila	militar
shakira	persona
tiramisú	tarta
farol	fraude
carlos de valois	monarca
kublai kan	prefijo
acera	pasarela
empaque	encierro
pera	frutal
panel solar	estación eléctrica
manivela	herramienta de mano
cyberpunk	persona
etología	biociencia
parador	vivienda
escudo	vestimenta
valija	maleta
trompetista	persona
pocilga	vecindad
cerivastatina	substancia
café	pepita
grafito	combustible
albizia	arbusto
fútbol club barcelona	escuadrón
arroz	alimento básico
heráclito	erudito
villa	zona metropolitana
sílex	compuesto
soga	hilo
vehículo	máquina
encuentro	contienda
doncella	mujercita
coleóptero	arthropoda
electronvoltio	unidad de trabajo
mozart	lenguaje formal
teherán	capital
tokio	pueblo
río elba	curso de agua
kiwi	grupo étnico
lago eyre	h2o
omar khayyam	autor
hipertensión arterial	morbilidad
myrdal	economista
zueco	chinela
pretor	togado
rheinmetall	persona jurídica
dotación	capital
naranjo	tracheobionta
sudor	función corporal
jade	piedra preciosa
caja registradora	equipamiento
winston churchill	ejecutiva
metotrexato	inmunosupresor
ansiedad	condición psicológica
temporal	alboroto
plátano	fruta
pasarela	tarima
azafato	auxiliar de vuelo
coco	palma
pasarela	estrado
pelota	parte corporal
dadaísmo	movimiento social
batman	producción audiovisual
úlcera duodenal	úlcera
teatro	evento social
sam shepard	productor
calle sin salida	autovía
sangre del dragón	resina
pontífice	cargo
vino	droga
chartreuse	inosilicato
masa de pan	mezcla
asentamiento	ciudad
neblina	condición atmosférica
olivo	planta perenne
villanueva de gumiel	municipio
turbión	agua
hornsby	suburbio
julio	etapa
cinturón	vestimenta
buque de guerra	transporte
tiza	carbonato
seguro sanitario	contrato de seguro
barco negrero	medio de transporte
protector de pantalla	utilidad
rey	carta
acera	paseo
trinitaria	planta
oreja	anatomía
ginebra	aguardiente
ábside	zócalo
trampa	falsificación
tangancícuaro	centro urbano
gogol	persona
musical	filme
cielo	variedad topológica
dortmund	suburbio
tigrillo	félido
cañón	accidente geográfico
pontífice	ministro
desierto	bioma
bandera	representación
semáforo	luz
tokio	corazón
fabulista	teller
sentido del oído	impresión
judas iscariote	adherente
contusión	morbilidad
trampa	operación militar
myrdal	cabeza
jailbreak	medio de comunicación
alcohol	compuesto químico
tubo de escape	embalaje
axila	parte corporal
maleta	ropa de cama
robo	ladrón
enna	arroyo
calisto	satélite
corbata de bolo	prenda de vestir
tímpano	instrumento de percusión
fósforo	lighter
forja	manufactura
calculadora	máquina
risco	grava
schiaparelli	depresión natural
oreja	informante
robo	felonía
friki	persona
unión soviética	unión
hospital	edificación
josé simeón cañas	médico
placa	dolencia
estatorreactor	motor
adam smith	filósofa
granja	lugar de trabajo
cosecante	función
mortero	receptáculo
cabecera	chapa
lactasa	biomolécula
gambito	apertura
cádiz	ribera
radioisótopo	núclido
chaparrón	tiempo atmosférico
análisis numérico	asignatura
kruschev	político
sangre	fluido
carlos de valois	soberano
madera de pino	árbol
habsburg	población urbana
ágata	piedra preciosa
stinger	programa de computación
muralla	túmulo
inocencio iv	sacramento del orden
tienda	vendedor
alioli	salsa
mozart	lenguaje de programación
habanera	evento social
pontífice	vicario
cóctel	evento social
lagoa	urbe
docente	maestro
rey	gobernante
salario	gasto
café	bebida
reembolso	gasto
drama	composición dramática
linterna	luminaria
globo aerostático	medio
propilenglicol	substancia
guitarra	cordófono
quilombo	equivocación
amígdala	ganglio basal
demanda	acusación
pelota	estafador
cimetidina	sustancia química
sal	aromatizante
hipertensión arterial	enfermedad cardiovascular
rotor	generador
batman	filme
mandarina	planta vascular
vanguardismo	estilo literario
demanda	querella
sátira	humor
foulard	trapo
ábside	zona
asturias	comunidad
ingreso	traspaso
arlequín	comedia
robo	acto ilegal
phillyrea	tracheobionta
cooperativa	colegio
japonés	lenguaje escrito
anticongelante	compuesto
heródoto	estudioso
vicepresidente	cabeza
ellington	ejecutivo
tabaco	fármaco
nkvd	agencia
brazal	blindaje
desierto	vecindad
chubasco	fenómeno
embrión	pluricelular
endrina	árbol
bardos	área urbana
oclusión	dificultad
manopla	arma
vicepresidente	honorífico
sacerdote	religioso
juana grey	autoridad
letrista	escritor
stanford	autoridad
té	líquido
cencerro	campana
punto de rocío	propiedad física
benjamin disraeli	líder
torbellino	perturbación
endrina	planta perenne
nuez moscada	planta leñosa
chaleco antibalas	prenda de vestir
barco insignia	nave
mistral	tramontana
ginebra	líquido
crema	curativo
yelmo	arma
carreteo	transporte
estabilizador	especificación técnica
rocalla	jardín
circulante	dinero
lactasa	compuesto químico
aleksandr pushkin	escritor
robo	criminal
termistor	instrumento de medida
the offspring	obra musical
explorador	programa informático
flamen	pastor
roberto urdaneta	jefe
vademécum	comunicación escrita
aduana	tributo
nimbo	luz
nuez moscada	órgano
rotor	motor eléctrico
redondeo	aproximación
spirit airlines	firma
renacimiento de harlem	período
paso a nivel	encrucijada
fútbol club barcelona	clube
azafato	ayudante
sello postal	billete de banco
embarcación	medio de transporte
estación de autobús	parada
sam shepard	comediante
zumo	producto alimenticio
pontífice	obispado
foulard	textil
robo	acción voluntaria
gabán	vestimenta
frente cálido	fenómeno
bill tilden	deportista
tenis de mesa	juego de mesa
maracay	urbe
cul-de-sac	calle
aposento	escena
pierre-joseph proudhon	profesionista
vicepresidente	responsable
ovejero	trabajadora
cádiz	astroblema
eca	proteasa
kruschev	persona
renacimiento de harlem	movimiento
panel solar	estación
mezquita	edificación
asentamiento	hábitat
estabilizador	especificación
brahmaputra	río
pedrisco	precipitación atmosférica
piloto	persona
halle	municipio
termistor	semiconductor
pocilga	asentamiento rural
penumbra	semioscuridad
xantina	compuesto
monte rainier	fractura
bromista	embrollón
bray	edificio
bolardo	apoyo
charcutería	delicatessen
plexiglás	resina
largometraje	teatro
maletín	maleta
albizia	planta leñosa
barco pesquero	transporte naval
béisbol	deporte de equipo
bolivia	estado sin litoral
kerch	área metropolitana
rotor	dinamo
bernard hinault	viajero
cachorro	animal
tregua	pausa
quitanieves	transporte de pasajeros
crema	substancia
grafito	biomasa
paso de cebra	camino
tragicomedia	género literario
chablis	bebida alcohólica
halle	área metropolitana
bray	urbe
patrón	líder
bolardo	soporte
galatasaray	vecindad
bardos	centro urbano
bromista	persona
plata	elemento químico
villa	pueblo
tenis de mesa	competencia
stanford	capital
reembolso	indemnización
cruce	apareamiento
bruce lee	actor dramático
kiwi	planta
ión	partícula
ocarina	instrumento musical
cal	unidad de medida
chartreuse	jade
tokio	zona metropolitana
jack el destripador	criminal
toma de tierra	conexión
rancho	asentamiento rural
amplificador	programa de ordenador
rupia	divisa
astigmatismo	deficiencia visual
julio	especificación técnica
cal	unidad de trabajo
the offspring	banda de rock
cereal	planta
ají	aromatizante
ben hogan	golfista
ellington	metrópoli
gárgola	criatura mítica
ben hogan	persona
locomotora	transporte
josep tarradellas	autoridad
habsburg	metrópoli
linterna	lámpara eléctrica
sefardí	español
instituto	edificio
apátrida	expatriado
naira	divisa
terremoto	desastre
cabra	vertebrado
cáncer	dolencia
pierre-joseph proudhon	socialista
antiniebla	lámpara
propilenglicol	fluido
cóctel	bebida alcohólica
apnea	afección
franklin delano roosevelt	oficial
anticongelante	fluido
william ewart gladstone	líder
tobin	profesionista
halle	surname
axila	hueso
proteína	biomolécula
olla	equipamiento
aborto	terminación
vial	receptáculo
stinger	programa de ordenador
parlamento	debate
boom box	álbum
vehículo	desplazamiento
maletín	accesorio
república federal	gobierno federal
linterna	máquina
farol	solicitud
praga	capital
chaleco antibalas	blindaje
lavadero	instrumento
lazo	conector
korean air	compañía
benjamin disraeli	jefe de estado
lutecio	elemento químico
lüleburgaz	disputa
beatriz de suabia	autoridad
diarrea	síntoma
aguacero	precipitación
cuenta de ahorro	cuenta bancaria
caldera	depresión
nuez moscada	planta
etanal	compuesto químico
nieve	precipitación
taxodium	hoja simple
torbellino	bullicio
cáncer	mal
sello postal	moneda
karaoke	canto
perro	villano
barco de carga	marino mercante
mojón	indicador
embarcación	marina mercante
campesino	chico
paraná	población urbana
hank williams	cantautor
mantequilla de maní	aromatizante
fragata	velero
comba	cordel
té	planta vascular
fósforo	luminaria
pelota	impostor
reportaje	estilo literario
olivo	planta
pera	planta
cerveza	bebida
biarritz	municipio
cantautor	vocalista
cría de animales	explotación
teorema	frase
francis hopkinson	portavoz
mecanografía	comunicación escrita
fabulista	tramposo
trampa	subterfugio
glaucoma	afección
librero	amo
peón	ayudante
rondó	estilo literario
encuentro	combate
roulade	torta
kiwi	mote
louis armstrong	músico
cañón	arma a distancia
land rover	compañía
protector de pantalla	patrón
zampoña	instrumento
arlequín	cómico
ellington	director de orquesta
bernhard riemann	persona
zapapico	pico
estatorreactor	motor rotativo
friso	entablamento
crema agria	producto alimenticio
barco de carga	transporte fluvial
guitarra	instrumento de cuerda
buque de guerra	desplazamiento
casco	vestimenta
cádiz	ciudad
desierto de gobi	bioma
deshielo	fenómeno
erinias	criatura mítica
liberalización	decaimiento
hancock	urbe
sake	fármaco
homicidio	causa de muerte
calisto	deidad
mano de obra	mercado de trabajo
el rey lear	ópera
inversión	financiación
grevillea	tracheobionta
inversión	financiamiento
ellington	gerente
área cultural	hábitat
desierto	superficie
los andes	centro urbano
temporal	condición atmosférica
cebú	ciudad
mortero	arma
fabulista	escritor
cantautor	escritor
guardarraíl	obstáculo
estrecho	canal
erlang	programa de computación
pretor	magistrado
tokio	magnitud
grafito	compuesto químico
gacha	césped
béisbol	juego de pelota
alioli	receta de cocina
mandarina	árbol
fabulista	infractor
barco insignia	vehículo
cuento	estilo literario
torbellino	temporal
miocarditis	afección
quinua	cultivo
patrón	amo
grisú	gas
winston churchill	militar
conmutador	interruptor
globo aerostático	aeronave
bray	gaelscoil
arturo toscanini	director musical
folclore	ocasión
fragata	buque
félix calleja	oficial
apóstrofo	signo diacrítico
timonel	persona
tokio	comunidad
tierra	objeto astronómico
vinagrera	verdura de hoja
veredicto	fallo
ion iliescu	autoridad
maracay	área metropolitana
karaoke	cante
monte vesubio	volcán activo
cerilla	yesquero
lona	carpa
stanley kubrick	productor de televisión
beatriz de suabia	reina madre
